"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_BRANCOS";"QT_VOTOS_NULOS";"QT_VOTOS_LEGENDA";"QT_VOTOS_PENDENTES";"QT_VOTOS_ANULADOS";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"78212";"RIO BRANCO DO SUL";"78212";"RIO BRANCO DO SUL";"156";"11";"Prefeito";"23747";"80";"1";"23747";"80";"22120";"1627";"N";"21031";"320";"769";"0";"0";"0";"18:41:28";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"76830";"MARECHAL CÂNDIDO RONDON";"76830";"MARECHAL CÂNDIDO RONDON";"121";"11";"Prefeito";"37834";"116";"14";"37834";"116";"31996";"5838";"N";"30207";"661";"1128";"0";"0";"0";"18:46:23";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"74730";"CAMBIRA";"74730";"CAMBIRA";"179";"11";"Prefeito";"5385";"17";"0";"5385";"17";"5089";"296";"N";"4813";"68";"208";"0";"0";"0";"17:33:29";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"74047";"LINDOESTE";"74047";"LINDOESTE";"143";"11";"Prefeito";"4341";"15";"0";"4341";"15";"4108";"233";"N";"3981";"30";"97";"0";"0";"0";"17:53:48";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"78158";"RIBEIRÃO DO PINHAL";"78158";"RIBEIRÃO DO PINHAL";"82";"13";"Vereador";"11456";"35";"0";"11456";"35";"8697";"2759";"N";"7716";"204";"224";"553";"0";"0";"17:53:07";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"76139";"ITAMBARACÁ";"76139";"ITAMBARACÁ";"57";"13";"Vereador";"5355";"18";"0";"5355";"18";"4558";"797";"N";"4165";"57";"91";"245";"0";"0";"17:33:10";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"79170";"TERRA BOA";"79170";"TERRA BOA";"173";"11";"Prefeito";"12802";"39";"0";"12802";"39";"10526";"2276";"N";"9630";"419";"477";"0";"0";"0";"17:23:16";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"84719";"SÃO JOSÉ DAS PALMEIRAS";"84719";"SÃO JOSÉ DAS PALMEIRAS";"129";"11";"Prefeito";"3462";"13";"2";"3462";"13";"3179";"283";"N";"3045";"43";"91";"0";"0";"0";"17:40:17";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"76619";"LEÓPOLIS";"76619";"LEÓPOLIS";"26";"11";"Prefeito";"3622";"15";"1";"3622";"15";"3188";"434";"N";"3094";"26";"68";"0";"0";"0";"17:26:01";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"75833";"GUARAPUAVA";"75833";"GUARAPUAVA";"43";"11";"Prefeito";"74732";"263";"0";"74732";"263";"66307";"8425";"N";"60169";"2256";"3882";"0";"0";"0";"13:01:22";"11/11/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"78751";"SÃO JOÃO DO IVAÍ";"78751";"SÃO JOÃO DO IVAÍ";"132";"11";"Prefeito";"9506";"33";"15";"9506";"33";"7968";"1538";"N";"7486";"125";"357";"0";"0";"0";"17:53:47";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"77372";"PALMITAL";"77372";"PALMITAL";"134";"11";"Prefeito";"11831";"43";"4";"11831";"43";"9302";"2529";"N";"8928";"107";"267";"0";"0";"0";"18:46:23";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"74829";"SANTA MÔNICA";"74829";"SANTA MÔNICA";"94";"13";"Vereador";"2923";"9";"0";"2923";"9";"2575";"348";"N";"2290";"18";"145";"122";"0";"0";"17:34:21";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"84697";"MISSAL";"84697";"MISSAL";"114";"13";"Vereador";"8833";"26";"8";"8833";"26";"7938";"895";"N";"7432";"85";"94";"327";"0";"0";"18:31:23";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"74594";"BOCAIÚVA DO SUL";"74594";"BOCAIÚVA DO SUL";"48";"11";"Prefeito";"8594";"30";"0";"8594";"30";"7735";"859";"N";"7165";"217";"353";"0";"0";"0";"18:22:58";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"84557";"ALTAMIRA DO PARANÁ";"84557";"ALTAMIRA DO PARANÁ";"169";"13";"Vereador";"3280";"9";"0";"3280";"9";"3015";"265";"N";"2757";"28";"107";"123";"0";"0";"17:24:57";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"79553";"QUEDAS DO IGUAÇU";"79553";"QUEDAS DO IGUAÇU";"163";"11";"Prefeito";"23813";"76";"0";"23813";"76";"19176";"4637";"N";"12962";"171";"6043";"0";"0";"0";"18:31:18";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"74519";"BARRA DO JACARÉ";"74519";"BARRA DO JACARÉ";"57";"13";"Vereador";"2686";"9";"0";"2686";"9";"2440";"246";"N";"2296";"21";"29";"94";"0";"0";"17:25:48";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"78093";"RENASCENÇA";"78093";"RENASCENÇA";"140";"13";"Vereador";"5172";"19";"0";"5172";"19";"4609";"563";"N";"4235";"93";"90";"191";"0";"0";"18:31:24";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"78298";"RONDON";"78298";"RONDON";"127";"13";"Vereador";"7515";"24";"0";"7515";"24";"6512";"1003";"N";"6006";"85";"124";"297";"0";"0";"18:31:06";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"2";"Eleição Ordinária";"1";"220";"ELEIÇÕES MUNICIPAIS 2016";"02/10/2016";"M";"PR";"74578";"BOA ESPERANÇA";"74578";"BOA ESPERANÇA";"170";"11";"Prefeito";"4029";"13";"9";"4029";"13";"3586";"443";"N";"3439";"22";"125";"0";"0";"0";"17:47:24";"02/10/2016"
"09/02/2020";"00:29:38";"2016";"1";"Eleição Suplementar";"1";"247";"ELEIÇÃO SUPLEMENTAR DE FOZ DO IGUAÇU";"02/04/2017";"M";"PR";"75639";"FOZ DO IGUAÇU";"75639";"FOZ DO IGUAÇU";"204";"11";"Prefeito";"41282";"135";"26";"41282";"135";"35260";"6022";"N";"30705";"1854";"2701";"0";"0";"0";"18:06:08";"02/04/2017"
