"UF";"Cargo";"Número do candidato";"Nome do candidato";"Nome do candidato (urna)";"Partido";"Coligação";"Turno";"Situação de totalização";"Votos nominais do candidato";"Voto em trânsito";"Votos válidos por abrangência";"% votos válidos";"Data última totalização"
"GO";"Prefeito";"15";"IRIS REZENDE MACHADO";"IRIS REZENDE";"PMDB";"PMDB / DEM / PDT / PRP / PTC / PRTB";"2";"Eleito";"379318";"0";"830597";"45,67";"30/10/2016 19:17:11"
"GO";"Prefeito";"40";"VANDERLAN VIEIRA CARDOSO";"VANDERLAN";"PSB";"PSB / PSC / PHS / PSL / PP / PV / PPS / PMB / PSDB / PRB / SD / PSDC";"2";"Não eleito";"278074";"0";"830597";"33,48";"30/10/2016 19:17:11"
"GO";"Prefeito";"14";"ROBERTO NAVES E SIQUEIRA";"ROBERTO DO ORION";"PTB";"PTB / PSD / SD / PMB / PROS / REDE / PRB / PPS / PTN";"2";"Eleito";"88730";"0";"830597";"10,68";"30/10/2016 18:30:25"
"GO";"Prefeito";"13";"JOÃO BATISTA GOMES PINTO";"JOÃO GOMES";"PT";"PT / PP / PRP / PMDB / PSB / PDT / PMN / PPL / PC do B / PR / PT do B";"2";"Não eleito";"84475";"0";"830597";"10,17";"30/10/2016 18:30:25"
"MA";"Prefeito";"12";"EDIVALDO DE HOLANDA BRAGA JUNIOR";"EDIVALDO HOLANDA JÚNIOR";"PDT";"PDT / PTB / PRB / PSC / PR / DEM / PROS / PC do B / PTC / PSL / PEN / PT";"2";"Eleito";"285242";"0";"528833";"53,94";"30/10/2016 19:11:10"
"MA";"Prefeito";"33";"EDUARDO SALIM BRAIDE";"EDUARDO BRAIDE";"PMN";"PMN";"2";"Não eleito";"243591";"0";"528833";"46,06";"30/10/2016 19:11:10"
"MG";"Prefeito";"31";"ALEXANDRE KALIL";"KALIL";"PHS";"PHS / REDE / PV";"2";"Eleito";"628050";"0";"1942119";"32,34";"30/10/2016 20:46:26"
"MG";"Prefeito";"45";"JOÃO LEITE DA SILVA NETO";"JOÃO LEITE";"PSDB";"PSDB / PPS / PP / DEM / PRB / PRTB";"2";"Não eleito";"557356";"0";"1942119";"28,7";"30/10/2016 20:46:26"
"MG";"Prefeito";"45";"ALEXIS JOSÉ FERREIRA DE FREITAS";"ALEX DE FREITAS";"PSDB";"PSDB / PV / PMB / PP / PPS / PSB / PT do B / PRP / PSL / SD";"2";"Eleito";"223902";"0";"1942119";"11,53";"30/10/2016 19:32:46"
"MG";"Prefeito";"15";"BRUNO DE FREITAS SIQUEIRA";"BRUNO SIQUEIRA";"PMDB";"PMDB / PSDB / PV / PRB / PP / PPL / PTB";"2";"Eleito";"151194";"0";"1942119";"7,79";"30/10/2016 19:27:45"
"MG";"Prefeito";"23";"HUMBERTO GUIMARAES SOUTO";"HUMBERTO SOUTO";"PPS";"PPS / PP / PDT / SD / REDE / PEN / PT do B / PV / PR / PSL / PRP";"2";"Eleito";"123156";"0";"1942119";"6,34";"30/10/2016 19:35:55"
"MG";"Prefeito";"13";"MARIA MARGARIDA MARTINS SALOMÃO";"MARGARIDA SALOMÃO";"PT";"PT / PROS / PC do B";"2";"Não eleito";"110059";"0";"1942119";"5,67";"30/10/2016 19:27:45"
"MG";"Prefeito";"65";"CARLOS MAGNO DE MOURA SOARES";"CARLIN MOURA";"PC do B";"PC do B / PDT / PT / PRB / PEN / PTC / PSDC / PHS / PMN / PROS / PTB";"2";"Não eleito";"82986";"0";"1942119";"4,27";"30/10/2016 19:32:46"
"MG";"Prefeito";"40";"RUY ADRIANO BORGES MUNIZ";"RUY MUNIZ";"PSB";"PSB / PMDB / PSD / PTC / PTB / PRB / PRTB / PHS / PMN";"2";"Não eleito";"65416";"0";"1942119";"3,37";"30/10/2016 19:35:55"
"MS";"Prefeito";"55";"MARCOS MARCELLO TRAD";"MARQUINHOS TRAD";"PSD";"PSD / PEN / PHS / DEM / PT do B / PMN / PTB / PPL";"2";"Eleito";"241876";"0";"411536";"58,77";"30/10/2016 17:57:27"
"MS";"Prefeito";"45";"ROSIANE MODESTO DE OLIVEIRA";"ROSE MODESTO";"PSDB";"PSDB / PR / PSB / PSL / SD / PRB / PDT";"2";"Não eleito";"169660";"0";"411536";"41,23";"30/10/2016 17:57:27"
"MT";"Prefeito";"15";"EMANUEL PINHEIRO";"EMANUEL PINHEIRO";"PMDB";"PMDB / PTB / PP / PSC / PMB / PR / PROS / SD / PPL / PT do B / PRP / PTC";"2";"Eleito";"157877";"0";"261360";"60,41";"30/10/2016 18:57:11"
