"UF";"Cargo";"Número do candidato";"Nome do candidato";"Nome do candidato (urna)";"Partido";"Coligação";"Turno";"Situação de totalização";"Votos nominais do candidato";"Voto em trânsito";"Votos válidos por abrangência";"% votos válidos";"Data última totalização"
"SP";"Prefeito";"25";"GILSON DE SOUZA";"GILSON DE SOUZA";"DEM";"DEM / PP / PSC / PEN / PSDC / PROS";"2";"Eleito";"90817";"0";"3419660";"2,66";"30/10/2016 19:56:59"
"SP";"Prefeito";"10";"WAGNER FEITOZA";"VAGUINHO";"PRB";"PRB / PTB / PMDB / PTN / PSC / PR / PMB / SD";"2";"Não eleito";"83362";"0";"3419660";"2,44";"30/10/2016 20:06:01"
"SP";"Prefeito";"22";"RODRIGO KENJI DE SOUZA ASHIUCHI";"RODRIGO ASHIUCHI";"PR";"PDT / PHS / PTN / PEN / PC do B / PR / PRP / PT do B / SD / PSL";"2";"Eleito";"82912";"0";"3419660";"2,42";"30/10/2016 20:48:54"
"SP";"Prefeito";"55";"PEDRO ANTONIO BIGARDI";"PEDRO BIGARDI";"PSD";"PP / PRB / PC do B / PSD / PSDC / PROS / PHS / PMDB / PDT";"2";"Não eleito";"82044";"0";"3419660";"2,4";"30/10/2016 19:57:35"
"SP";"Prefeito";"40";"VALTER SUMAN";"DR. VALTER SUMAN";"PSB";"PSB / PMB / PEN / PHS";"2";"Eleito";"79702";"0";"3419660";"2,33";"30/10/2016 19:42:37"
"SP";"Prefeito";"13";"CARLOS ALBERTO GRANA";"CARLOS GRANA";"PT";"PT / PMB / PDT / PSD / PROS / PSC / PR / PC do B / PT do B / PSL / PTN";"2";"Não eleito";"77069";"0";"3419660";"2,25";"30/10/2016 19:48:31"
"SP";"Prefeito";"23";"HAIFA ALI ABDUL RAHIM MADI";"HAIFA MADI";"PPS";"PPS / PRTB / PRP";"2";"Não eleito";"77056";"0";"3419660";"2,25";"30/10/2016 19:42:37"
"SP";"Prefeito";"43";"RAUL APARECIDO GONÇALVES PAULA";"RAUL";"PV";"PV / PSDB / PR / PTN / PPS / PMB";"2";"Não eleito";"70617";"0";"3419660";"2,07";"30/10/2016 19:23:04"
"SP";"Prefeito";"45";"SIDNEI FRANCO DA ROCHA";"SIDNEI FRANCO DA ROCHA";"PSDB";"PSDB / PRB / PPS / SD / PMN / PSD";"2";"Não eleito";"70405";"0";"3419660";"2,06";"30/10/2016 19:56:59"
"SP";"Prefeito";"13";"DONISETE PEREIRA BRAGA";"DONISETE BRAGA";"PT";"PT / PDT / PTB / PV / PPS / PROS / PT do B / PRB / PP";"2";"Não eleito";"62169";"0";"3419660";"1,82";"30/10/2016 19:51:19"
"SP";"Prefeito";"14";"ISRAEL SAMPAIO DE LACERDA FILHO";"LACERDA";"PTB";"PTB / PPL / PSB / PMN / PMB / PROS / PSDC / PV / PPS";"2";"Não eleito";"56186";"0";"3419660";"1,64";"30/10/2016 20:48:54"
