"Dt Ultima  Totalização";"UF";"Município";"Cargo";"Nr";"Candidato";"Partido";"Situação";"Qt Votos  Válidos";"% Válidos";
"";"PR";"CURITIBA";"Vereador";"12.555";"OTÁVIO HENRIQUE SILVA FELINTO";"PDT";"Suplente";"1.864";"0,205"
"";"PR";"CURITIBA";"Vereador";"12.100";"ISAAC DE OLIVEIRA";"PDT";"Suplente";"1.812";"0,199"
"";"PR";"CURITIBA";"Vereador";"12.333";"ROSA MARIA CHIAMULERA";"PDT";"Suplente";"1.788";"0,196"
"";"PR";"CURITIBA";"Vereador";"43.198";"BENEDITO LIMA";"PV";"Suplente";"1.748";"0,192"
"";"PR";"CURITIBA";"Vereador";"43.123";"CHARLUAN GAMBALLE CORREIA";"PV";"Suplente";"1.594";"0,175"
"";"PR";"CURITIBA";"Vereador";"13.121";"EUSTAQUIO MOREIRA DOS SANTOS";"PT";"Suplente";"1.388";"0,152"
"";"PR";"CURITIBA";"Vereador";"12.673";"GERALDO CLAITO BOBATO";"PDT";"Suplente";"1.341";"0,147"
"";"PR";"CURITIBA";"Vereador";"43.143";"EDSON LUIZ FERREIRA DA CRUZ";"PV";"Suplente";"1.308";"0,144"
"";"PR";"CURITIBA";"Vereador";"43.993";"PATRICIA AUGUSTA HETZEL SILVA";"PV";"Suplente";"1.304";"0,143"
"";"PR";"CURITIBA";"Vereador";"13.113";"JOSE GERALDO DE VASCONCELOS";"PT";"Suplente";"1.264";"0,139"
"";"PR";"CURITIBA";"Vereador";"12.580";"ZAMIR KENNEDY HOSHI TEIXEIRA";"PDT";"Suplente";"1.186";"0,130"
"";"PR";"CURITIBA";"Vereador";"13.777";"LUIS CLAUDIO PEREIRA";"PT";"Suplente";"1.123";"0,123"
"";"PR";"CURITIBA";"Vereador";"12.001";"RAUL ALCÂNTARA DE SOUZA";"PDT";"Suplente";"1.117";"0,123"
"";"PR";"CURITIBA";"Vereador";"13.156";"DORIVAL DE ALMEIDA";"PT";"Suplente";"1.068";"0,117"
"";"PR";"CURITIBA";"Vereador";"12.612";"MARIA APARECIDA QUEIROGA";"PDT";"Suplente";"1.045";"0,115"
"";"PR";"CURITIBA";"Vereador";"12.600";"CLEINTON CALDEIRA";"PDT";"Suplente";"1.002";"0,110"
"";"PR";"CURITIBA";"Vereador";"43.488";"LUIZ QUINTINO MARTINS DE FIGUEIREDO";"PV";"Suplente";"982";"0,108"
"";"PR";"CURITIBA";"Vereador";"43.743";"TEREZINHA ROSSI";"PV";"Suplente";"966";"0,106"
"";"PR";"CURITIBA";"Vereador";"12.122";"LUCIO FORTES MOREIRA FILHO";"PDT";"Suplente";"931";"0,102"
"";"PR";"CURITIBA";"Vereador";"43.210";"MARIA DE FATIMA SADDOCK PEREIRA";"PV";"Suplente";"912";"0,100"
"";"PR";"CURITIBA";"Vereador";"43.256";"PEDRO LAURO DOMARADZKI";"PV";"Suplente";"895";"0,098"
"";"PR";"CURITIBA";"Vereador";"12.112";"LUIZ MAURICIO CAMARGO CARRARO";"PDT";"Suplente";"736";"0,081"
"";"PR";"CURITIBA";"Vereador";"13.444";"JOICE LUIS GRAMINHO";"PT";"Suplente";"717";"0,079"
"";"PR";"CURITIBA";"Vereador";"12.777";"GISELE SCHWINDEN DE SOUZA";"PDT";"Suplente";"683";"0,075"
"";"PR";"CURITIBA";"Vereador";"43.021";"PAULO MAZZA DE SOUZA";"PV";"Suplente";"615";"0,068"
"";"PR";"CURITIBA";"Vereador";"12.456";"PIRAJA FERREIRA";"PDT";"Suplente";"601";"0,066"
"";"PR";"CURITIBA";"Vereador";"13.285";"SESOSTRIS FILIPE ARMSTRONG OLIVEIRA";"PT";"Suplente";"594";"0,065"
"";"PR";"CURITIBA";"Vereador";"43.777";"KÁTIA PACHECO";"PV";"Suplente";"581";"0,064"
"";"PR";"CURITIBA";"Vereador";"43.223";"DIVINA ORTILIANO DOS SANTOS";"PV";"Suplente";"571";"0,063"
"";"PR";"CURITIBA";"Vereador";"43.909";"MARGARETE APARECIDA FLEITER";"PV";"Suplente";"516";"0,057"
"";"PR";"CURITIBA";"Vereador";"13.024";"JULIANA INEZ LUIZ DE SOUZA";"PT";"Suplente";"492";"0,054"
"";"PR";"CURITIBA";"Vereador";"12.500";"ROBERTO KUGLER";"PDT";"Suplente";"417";"0,046"
"";"PR";"CURITIBA";"Vereador";"12.013";"IRENE DO ROCIO DE ALMEIDA";"PDT";"Suplente";"394";"0,043"
"";"PR";"CURITIBA";"Vereador";"43.010";"THIAGO CHEMIN ROSENMANN";"PV";"Suplente";"377";"0,041"
"";"PR";"CURITIBA";"Vereador";"13.007";"LORI MASSOLIN FILHO";"PT";"Suplente";"374";"0,041"
"";"PR";"CURITIBA";"Vereador";"43.456";"DARTAGNAN SCHREDERHOF ALVES DIAS FERREIRA";"PV";"Suplente";"335";"0,037"
"";"PR";"CURITIBA";"Vereador";"12.212";"MARIA DA PIEDADE MONTEIRO DE ALMEIDA MOTTA";"PDT";"Suplente";"333";"0,037"
"";"PR";"CURITIBA";"Vereador";"13.333";"CARLOS ALBERTO LIMA";"PT";"Suplente";"318";"0,035"
"";"PR";"CURITIBA";"Vereador";"12.080";"JUÇARA APARECIDA DE ARRUDA LIMA MORO";"PDT";"Suplente";"297";"0,033"
"";"PR";"CURITIBA";"Vereador";"13.535";"PAULO HENRIQUE PAES DE SOUZA";"PT";"Suplente";"279";"0,031"
"";"PR";"CURITIBA";"Vereador";"12.051";"SAMIRA MOHSEN SAKHR TOMÉ";"PDT";"Suplente";"277";"0,030"
"";"PR";"CURITIBA";"Vereador";"13.010";"FATIMA DANGELO";"PT";"Suplente";"221";"0,024"
"";"PR";"CURITIBA";"Vereador";"43.555";"ELIANA MARIA MELLER";"PV";"Suplente";"219";"0,024"
"";"PR";"CURITIBA";"Vereador";"13.554";"LUSIA DE JESUS";"PT";"Suplente";"40";"0,004"
"";"PR";"CURITIBA";"Vereador";"15.007";"NOEMIA DE SOUZA E SILVA ALVES ROCHA";"PMDB";"Eleito por QP";"8.132";"0,893"
"";"PR";"CURITIBA";"Vereador";"15.420";"ANDRE FERREIRA FEIGES";"PMDB";"Suplente";"2.285";"0,251"
"";"PR";"CURITIBA";"Vereador";"15.181";"JUSSARA JOECKEL";"PMDB";"Suplente";"1.480";"0,163"
"";"PR";"CURITIBA";"Vereador";"15.000";"WILLIAN ANTUNES WENCESLAU BRAZ";"PMDB";"Suplente";"1.358";"0,149"
"";"PR";"CURITIBA";"Vereador";"15.815";"CATARINA TAVARES DA SILVA";"PMDB";"Suplente";"1.022";"0,112"
"";"PR";"CURITIBA";"Vereador";"15.153";"EVERSON CAMARGO";"PMDB";"Suplente";"867";"0,095"
"";"PR";"CURITIBA";"Vereador";"15.554";"JOAO IVAN AZEVEDO";"PMDB";"Suplente";"715";"0,079"
"";"PR";"CURITIBA";"Vereador";"15.999";"SÔNIA MARIA BARBOSA BRAGA";"PMDB";"Suplente";"654";"0,072"
"";"PR";"CURITIBA";"Vereador";"15.121";"MARCIO ROBERTO ITIBERE DE BARROS COELHO";"PMDB";"Suplente";"580";"0,064"
"";"PR";"CURITIBA";"Vereador";"15.909";"RUBIANA PILATTI TRENTIN";"PMDB";"Suplente";"411";"0,045"
"";"PR";"CURITIBA";"Vereador";"15.431";"JOAO BATISTA DE QUADROS";"PMDB";"Suplente";"405";"0,044"
"";"PR";"CURITIBA";"Vereador";"15.051";"ANTONIO ALEXANDRE DE OLIVEIRA MANCINI";"PMDB";"Suplente";"333";"0,037"
"";"PR";"CURITIBA";"Vereador";"15.555";"RENATO SOARES MARIN";"PMDB";"Suplente";"331";"0,036"
"";"PR";"CURITIBA";"Vereador";"15.115";"CLAUDIO CORREA GOMES";"PMDB";"Suplente";"311";"0,034"
"";"PR";"CURITIBA";"Vereador";"15.081";"WAGNALDO RODRIGUES";"PMDB";"Suplente";"305";"0,033"
"";"PR";"CURITIBA";"Vereador";"15.190";"DEJANIR FERREIRA JUNIOR";"PMDB";"Suplente";"287";"0,032"
"";"PR";"CURITIBA";"Vereador";"15.145";"JOAO SOBIERANSKI";"PMDB";"Suplente";"277";"0,030"
"";"PR";"CURITIBA";"Vereador";"15.052";"RAFAEL FRANÇA VOITCH";"PMDB";"Suplente";"267";"0,029"
"";"PR";"CURITIBA";"Vereador";"15.444";"ELOIR DE ALMEIDA GONÇALVES";"PMDB";"Suplente";"265";"0,029"
"";"PR";"CURITIBA";"Vereador";"15.315";"VICTOR HUGO NOBLE TEIXEIRA";"PMDB";"Suplente";"260";"0,029"
"";"PR";"CURITIBA";"Vereador";"15.013";"FRANCISCO WOJCIECHOWSKI";"PMDB";"Suplente";"256";"0,028"
"";"PR";"CURITIBA";"Vereador";"15.963";"CESÁRIO RICARDO MARCONCIN";"PMDB";"Suplente";"242";"0,027"
"";"PR";"CURITIBA";"Vereador";"15.015";"EDEMEZIO OLIVEIRA XAVIER";"PMDB";"Suplente";"238";"0,026"
"";"PR";"CURITIBA";"Vereador";"15.630";"PEDRO DONIZETE VIEIRA";"PMDB";"Suplente";"212";"0,023"
"";"PR";"CURITIBA";"Vereador";"15.111";"AGUINALDO GRAMAZIO WALTRICH";"PMDB";"Suplente";"184";"0,020"
"";"PR";"CURITIBA";"Vereador";"15.615";"ERASMO TAGAWA BRANDÃO";"PMDB";"Suplente";"183";"0,020"
"";"PR";"CURITIBA";"Vereador";"15.333";"APARECIDO GARCIA";"PMDB";"Suplente";"182";"0,020"
"";"PR";"CURITIBA";"Vereador";"15.156";"HELCIO SOARES PADILHA JUNIOR";"PMDB";"Suplente";"171";"0,019"
"";"PR";"CURITIBA";"Vereador";"15.021";"SEBASTIÃO DOMINGOS PEREIRA";"PMDB";"Suplente";"171";"0,019"
"";"PR";"CURITIBA";"Vereador";"15.067";"FRANCISCO LUIZ MERCER SCHIMIDT";"PMDB";"Suplente";"166";"0,018"
"";"PR";"CURITIBA";"Vereador";"15.777";"ALFREDO MARCOS DO PRADO";"PMDB";"Suplente";"119";"0,013"
"";"PR";"CURITIBA";"Vereador";"15.873";"HODSI RODRIGUES ELIAS";"PMDB";"Suplente";"116";"0,013"
